global_update_round,loss,accuracy
0,2.355585762217075,0.0937
1,2.299555706072457,0.1139
2,2.252275080620488,0.1472
3,2.205512025688268,0.1949
4,2.1586336878281607,0.2694
5,2.111118829703029,0.3685
6,2.0627520039111755,0.4412
7,2.013259392750414,0.4808
8,1.9632594781585886,0.509
9,1.9121929210952566,0.5256
10,1.8603953017464168,0.5386
11,1.8080021354216564,0.5502
12,1.7556652388995206,0.5574
13,1.703824381285076,0.5679
14,1.651853119270711,0.5763
15,1.6009932122653043,0.5852
16,1.5514534998543654,0.5941
17,1.5034838009484206,0.6018
18,1.4565327756012543,0.6113
19,1.4119829754286175,0.6211
20,1.3691324750079383,0.6303
