    global_update_round,loss,accuracy
0,2.3364571227303035,0.0649
1,2.31917014001291,0.0701
2,2.3074943838240225,0.0763
3,2.2967628798907316,0.0865
4,2.2861057082308998,0.0991
5,2.275900904136368,0.1151
6,2.26548988909661,0.1348
7,2.2551860356632667,0.1535
8,2.2449023301088356,0.1768
9,2.2346923803981347,0.2041
10,2.224513032768346,0.2313
11,2.214349137076849,0.2619
12,2.2041828722893437,0.2912
13,2.1940213758734206,0.3208
14,2.183862468864344,0.3467
15,2.1737390198285067,0.3698
16,2.1636109472830083,0.3941
17,2.1534639280053636,0.4161
18,2.1433076375647437,0.4364
19,2.1331436815141123,0.452
20,2.1229367135446284,0.4683
