id,dataset,num-clients,fraction-malicious,attack-type,local-epochs,learning-rate,batch-size,trusted-fraction,epsilon,delta,clipping-norm,noise-multiplier
12545903956989804075,MNIST,100,0,,1,0.003,128,0.5,2,1e-05,1,12.546768868145072
8879485138334340584,MNIST,100,0,,1,0.001,128,0.5,2,1e-05,1,12.546768868145072
12334059410767603565,MNIST,100,0,,1,0.001,128,0.5,2,1e-05,1,12.546768868145072
7674693798197588392,MNIST,100,0,,1,0.003,128,0.5,2,1e-05,1,12.546768868145072
7512692028153290312,MNIST,100,0,,1,0.01,128,0.5,2,1e-05,1,12.546768868145072
17270486022212560242,MNIST,100,0,,1,0.03,128,0.5,2,1e-05,1,12.546768868145072
17206153901788442951,MNIST,100,0,,1,0.1,128,0.5,2,1e-05,1,12.546768868145072
12055602663877066019,MNIST,100,0,,1,0.01,128,0.5,2,1e-05,1,12.546768868145072
9863634506534875977,MNIST,100,0,,2,0.01,128,0.5,2,1e-05,1,12.546768868145072
7049169044139704272,MNIST,100,0,,4,0.01,128,0.5,2,1e-05,1,12.546768868145072
10841215859080113325,MNIST,100,0,,8,0.01,128,0.5,2,1e-05,1,12.546768868145072
2943218190119910967,MNIST,100,0,,16,0.01,128,0.5,2,1e-05,1,12.546768868145072
5385282198804019365,MNIST,100,0,,1,0.01,128,0.5,2,1e-05,0.25,12.546768868145072
7660575382529708337,MNIST,100,0,,1,0.01,128,0.5,2,1e-05,0.5,12.546768868145072
8128168353179688559,MNIST,100,0,,1,0.01,128,0.5,2,1e-05,1,12.546768868145072
4115076483073264345,MNIST,100,0,,1,0.01,128,0.5,2,1e-05,2,12.546768868145072
9604487091996589398,MNIST,100,0,,1,0.01,128,0.5,2,1e-05,4,12.546768868145072
