id,dataset,attack-type,use-dp,noise-reduction,concentration-parameter,num-clients,fraction-malicious,attack-type,local-epochs,learning-rate,batch-size,trusted-fraction,epsilon,delta,clipping-norm,noise-multiplier
4681489999004700628,EMNIST,,True,True,5,100,0,,1,0.03,128,0.5,2,1e-05,2,8.871905374982177
16841277926685202417,EMNIST,,True,True,5,100,0,,1,0.001,128,0.5,2,1e-05,2,8.871905374982177
1354630721275753010,EMNIST,,True,True,5,100,0,,1,0.003,128,0.5,2,1e-05,2,8.871905374982177
13955901404182266725,EMNIST,,True,True,5,100,0,,1,0.01,128,0.5,2,1e-05,2,8.871905374982177
710902168040675571,EMNIST,,True,True,5,100,0,,1,0.03,128,0.5,2,1e-05,2,8.871905374982177
8628423177364558423,EMNIST,,True,True,5,100,0,,1,0.1,128,0.5,2,1e-05,2,8.871905374982177
14606214722724316024,EMNIST,,True,True,5,100,0,,1,0.03,128,0.5,2,1e-05,0.25,8.871905374982177
8682060525391690865,EMNIST,,True,True,5,100,0,,1,0.03,128,0.5,2,1e-05,0.5,8.871905374982177
8574853496134118596,EMNIST,,True,True,5,100,0,,1,0.03,128,0.5,2,1e-05,1,8.871905374982177
2235302474394273272,EMNIST,,True,True,5,100,0,,1,0.03,128,0.5,2,1e-05,2,8.871905374982177
2948499516007933454,EMNIST,,True,True,5,100,0,,1,0.03,128,0.5,2,1e-05,4,8.871905374982177
