global_update_round,loss,accuracy
0,2.29464741296406,0.1842
1,2.2867516596106032,0.1901
2,2.2810421653940707,0.1963
3,2.2754034814955313,0.2019
4,2.269762808763528,0.2081
5,2.2641266448588313,0.2138
6,2.258491842052605,0.2194
7,2.2528610229492188,0.2254
8,2.24729681618606,0.2317
9,2.2417187781273564,0.2378
10,2.236153907413724,0.2432
11,2.230620682994022,0.2483
12,2.2250956281830994,0.2553
13,2.21960123883018,0.2607
14,2.214069888561587,0.2679
15,2.2085770383665833,0.2725
16,2.2030764199510404,0.2801
17,2.1976021120819866,0.2865
18,2.1921665487410147,0.2946
19,2.186716248717489,0.3036
20,2.1812645030927054,0.309
