global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall,attack-success-rate
0,4.124079337114768,0.04167705440884434,,,,0.39815857569010427
1,3.8080965275296044,0.09073871891199504,0.64,0.1,0.03571428571428571,0.9908874427241389
2,2.7297464806248346,0.3420131874177936,0.77,0.7272727272727273,0.2857142857142857,0.540168324407039
3,2.424433857461039,0.40401296390223773,0.74,0.6666666666666666,0.14285714285714285,0.6115213672274614
4,2.123463611926296,0.4831116804071422,0.75,0.8,0.14285714285714285,0.5039759978680055
5,1.987784685115031,0.5134238284776012,0.76,1.0,0.14285714285714285,0.5458163905676435
6,1.8644181831955207,0.5464955339872596,0.77,1.0,0.17857142857142858,0.4853554327175193
7,1.8057001739486473,0.5593046946863475,0.74,1.0,0.07142857142857142,0.5774524384687465
8,1.7062374243641123,0.5808567523189739,0.74,0.75,0.10714285714285714,0.5407185165444495
9,1.6888858651561058,0.5875450254893702,0.75,1.0,0.10714285714285714,0.6381970891397231
10,1.6313228865430538,0.5974398872106118,0.73,1.0,0.03571428571428571,0.6470001633382908
11,1.6044380720103837,0.6039562253380673,0.72,0,0.0,0.7119744160656104
12,1.5761740575067478,0.6124842034679299,0.74,1.0,0.07142857142857142,0.6948840727972971
13,1.5679535887140787,0.6160948393696861,0.74,1.0,0.07142857142857142,0.7108740317907895
14,1.547697446343065,0.6222243236505248,0.75,1.0,0.10714285714285714,0.8219440695305313
15,1.5226441915911892,0.6259123303216045,0.73,1.0,0.03571428571428571,0.7689278990397428
16,1.5188377742220165,0.6313970581914152,0.72,0,0.0,0.8236032426949098
17,1.4861609767014836,0.6354117414440824,0.73,1.0,0.03571428571428571,0.8028162960033699
18,1.4798437799186284,0.6413091134169511,0.74,1.0,0.07142857142857142,0.805257773613129
19,1.4398646357421792,0.6451260713702364,0.73,1.0,0.03571428571428571,0.8031171823285163
20,1.4260598231516697,0.6493126896658442,0.73,1.0,0.03571428571428571,0.8150924580693414
21,1.4511793555097399,0.6484959982118755,0.73,1.0,0.03571428571428571,0.8919646157681628
22,1.4120904693861933,0.6542472253982445,0.72,0,0.0,0.8013290578819322
23,1.4211343196758282,0.6564823809564746,0.72,0,0.0,0.8630709318019653
24,1.4017365868676157,0.6598351142938198,0.72,0,0.0,0.836257661855351
25,1.4017365868676157,0.6598351142938198,0.74,1.0,0.07142857142857142,0.836257661855351
26,1.4084831580096813,0.6626032684851663,0.75,1.0,0.10714285714285714,0.8913284561092819
27,1.3952727041315587,0.6636778625035462,0.73,1.0,0.03571428571428571,0.8803504036175133
28,1.3821405032471334,0.6654831804544243,0.74,1.0,0.07142857142857142,0.8861274210603234
29,1.3595141671400617,0.6705208772125891,0.74,1.0,0.07142857142857142,0.8802644360960429
30,1.3656988540318458,0.6716986322567334,0.74,1.0,0.07142857142857142,0.8726992942066487
31,1.3615987132045155,0.672051099094762,0.73,1.0,0.03571428571428571,0.863896220008081
32,1.3717349680032704,0.674724689012491,0.73,1.0,0.03571428571428571,0.8932627253423656
33,1.34483992718425,0.678025841836954,0.72,0,0.0,0.9005183841544664
34,1.332080384932611,0.6801234493608315,0.75,1.0,0.10714285714285714,0.8887580272173173
35,1.336198548690258,0.6804845129510071,0.72,0,0.0,0.8766194131856985
36,1.326912599727257,0.6825649269705905,0.72,0,0.0,0.8970796832956509
37,1.3090380787543008,0.6832870541509418,0.72,0,0.0,0.9058913542463657
38,1.3107441230154053,0.685315887657643,0.73,1.0,0.03571428571428571,0.9147202187013747
39,1.3297534626263168,0.6856167739827893,0.74,1.0,0.07142857142857142,0.9013694626170233
40,1.297991200430825,0.6891844261238105,0.73,1.0,0.03571428571428571,0.8852247620848843
41,1.308989300948425,0.6898119890305443,0.73,1.0,0.03571428571428571,0.9230332780275612
42,1.308989300948425,0.6898119890305443,0.74,1.0,0.07142857142857142,0.9230332780275612
43,1.308989300948425,0.6898119890305443,0.78,1.0,0.21428571428571427,0.9230332780275612
44,1.300778334612786,0.6914109849298935,0.73,1.0,0.03571428571428571,0.8972258280821506
45,1.2878586680142061,0.6928208522820078,0.72,0,0.0,0.9199126569981861
46,1.2823782546551203,0.6946519604893271,0.73,1.0,0.03571428571428571,0.9326186566715094
