global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall
0,2.3362869384765625,0.1077,,,
1,2.3362869384765625,0.1077,0.28,0.28,1.0
2,2.3362869384765625,0.1077,0.28,0.28,1.0
3,2.3362869384765625,0.1077,0.28,0.28,1.0
4,2.2990815536499025,0.1262,0.69,0.4727272727272727,0.9285714285714286
5,2.2631350563049315,0.156,0.71,0.49019607843137253,0.8928571428571429
6,2.231747850036621,0.2059,0.71,0.4897959183673469,0.8571428571428571
7,2.199002417755127,0.2653,0.76,0.5454545454545454,0.8571428571428571
8,2.1695509506225585,0.3085,0.78,0.5833333333333334,0.75
9,2.143017977142334,0.3443,0.71,0.4857142857142857,0.6071428571428571
10,2.1157798240661623,0.3795,0.79,0.6206896551724138,0.6428571428571429
11,2.0870320190429688,0.4124,0.81,0.6363636363636364,0.75
12,2.058745376777649,0.4466,0.84,0.7,0.75
13,2.0317086631774903,0.4692,0.82,0.6785714285714286,0.6785714285714286
14,2.0070701496124266,0.4926,0.77,0.5925925925925926,0.5714285714285714
15,1.9823239542007447,0.5112,0.79,0.6521739130434783,0.5357142857142857
16,1.9568042720794678,0.53,0.74,0.53125,0.6071428571428571
17,1.9306239799499512,0.5455,0.76,0.5555555555555556,0.7142857142857143
18,1.9063781587600708,0.557,0.76,0.5714285714285714,0.5714285714285714
19,1.8786067693710327,0.5708,0.82,0.6785714285714286,0.6785714285714286
20,1.850094278717041,0.5812,0.81,0.6451612903225806,0.7142857142857143
21,1.8235048072814941,0.5935,0.77,0.5925925925925926,0.5714285714285714
22,1.7968605049133302,0.6034,0.8,0.6428571428571429,0.6428571428571429
23,1.7715571098327636,0.612,0.8,0.6818181818181818,0.5357142857142857
24,1.746268531036377,0.6162,0.78,0.6363636363636364,0.5
25,1.7194433780670166,0.6223,0.82,0.75,0.5357142857142857
26,1.7194433780670166,0.6223,0.76,0.5909090909090909,0.4642857142857143
27,1.6945282684326173,0.6264,0.85,0.8421052631578947,0.5714285714285714
28,1.6697164501190185,0.631,0.82,0.7777777777777778,0.5
29,1.6446174003601075,0.6355,0.87,0.9411764705882353,0.5714285714285714
30,1.6222120624542236,0.6398,0.81,0.8461538461538461,0.39285714285714285
31,1.6012708662033082,0.6437,0.79,0.7333333333333333,0.39285714285714285
32,1.578198352432251,0.6471,0.83,0.7894736842105263,0.5357142857142857
33,1.5565174478530883,0.6525,0.8,0.75,0.42857142857142855
34,1.535975679588318,0.6582,0.79,0.7333333333333333,0.39285714285714285
