id,start-time,dataset,attack-type,adaptive-attack-lambda,use-dp,noise-reduction,concentration-parameter,num-clients,fraction-malicious,local-epochs,learning-rate,batch-size,trusted-fraction,epsilon,delta,clipping-norm,noise-multiplier
11055161064926383285,2026-07-30 22:20:35.649777,WEATHER,SCALING,,,True,True,5,45,0.28,1,0.03,128,0.5,1,1e-05,10,73.75988974436616
7575937524755364030,2026-07-30 22:28:06.966160,MNIST,SCALING,,,True,True,5,100,0.28,1,0.03,128,0.5,1,1e-05,10,74.23863304373495
16521712473678914959,2026-07-30 22:51:59.544606,EMNIST,SCALING,,,True,True,5,100,0.28,1,0.03,128,0.5,1,1e-05,10,74.23863304373495
15581867898850937450,2026-07-31 00:37:03.648780,WEATHER,SCALING,,,True,True,5,45,0.28,1,0.03,128,0.5,1,1e-05,10,73.75988974436616
18045795340003396488,2026-07-31 00:44:08.122954,MNIST,SCALING,,,True,True,5,100,0.28,1,0.03,128,0.5,1,1e-05,10,74.23863304373495
5519458333086745739,2026-07-31 01:07:01.018942,EMNIST,SCALING,,,True,True,5,100,0.28,1,0.03,128,0.5,1,1e-05,10,74.23863304373495
14136830458675583042,2026-07-31 02:52:03.528512,WEATHER,SCALING,,,True,True,5,45,0.28,1,0.03,128,0.5,1,1e-05,10,73.75988974436616
14407961914441626719,2026-07-31 02:59:17.569882,MNIST,SCALING,,,True,True,5,100,0.28,1,0.03,128,0.5,1,1e-05,10,74.23863304373495
601827580043282212,2026-07-31 03:21:26.524174,EMNIST,SCALING,,,True,True,5,100,0.28,1,0.03,128,0.5,1,1e-05,10,74.23863304373495
5019616284391316951,2026-07-31 05:03:03.459985,WEATHER,SCALING,,,True,True,5,45,0.28,1,0.03,128,0.5,1,1e-05,10,73.75988974436616
5124362976042665928,2026-07-31 05:10:20.735096,MNIST,SCALING,,,True,True,5,100,0.28,1,0.03,128,0.5,1,1e-05,10,74.23863304373495
16121087301003072436,2026-07-31 05:35:30.773147,EMNIST,SCALING,,,True,True,5,100,0.28,1,0.03,128,0.5,1,1e-05,10,74.23863304373495
16243285098302549242,2026-07-31 06:19:53.196471,WEATHER,LIT,,0.2,True,True,5,45,0.28,1,0.03,128,0.5,1,1e-05,10,73.75988974436616
5928465314623030372,2026-07-31 06:29:49.894063,MNIST,LIT,,0.2,True,True,5,100,0.28,1,0.03,128,0.5,1,1e-05,10,74.23863304373495
17348821245759743674,2026-07-31 07:01:06.559446,EMNIST,LIT,,0.2,True,True,5,100,0.28,1,0.03,128,0.5,1,1e-05,10,74.23863304373495
3721092339070888043,2026-07-31 10:44:44.866088,WEATHER,LABELFLIP,,,True,True,5,100,0.28,1,0.03,128,0.5,1,1e-05,10,74.23863304373495
9671933758010791031,2026-07-31 10:47:21.695275,WEATHER,LABELFLIP,,,True,True,5,45,0.28,1,0.03,128,0.5,1,1e-05,10,73.75988974436616
4791581353400438801,2026-07-31 10:53:40.457811,MNIST,LABELFLIP,,,True,True,5,100,0.28,1,0.03,128,0.5,1,1e-05,10,74.23863304373495
10714360551585490755,2026-07-31 11:04:37.227520,WEATHER,GAUSSIAN,,,True,True,5,100,0.28,1,0.03,128,0.5,1,1e-05,10,74.23863304373495
2581359704013667513,2026-07-31 11:06:43.653343,WEATHER,GAUSSIAN,,,True,True,5,45,0.28,1,0.03,128,0.5,1,1e-05,10,73.75988974436616
10744326668239685299,2026-07-31 11:11:50.624240,MNIST,GAUSSIAN,,,True,True,5,100,0.28,1,0.03,128,0.5,1,1e-05,10,74.23863304373495
16082719860006452201,2026-07-31 11:21:17.334709,MNIST,GAUSSIAN,,,True,True,5,100,0.28,1,0.03,128,0.5,1,1e-05,10,74.23863304373495
3934817919112932400,2026-07-31 11:23:32.674093,MNIST,GAUSSIAN,,,True,True,5,100,0.28,1,0.03,128,0.5,1,1e-05,10,74.23863304373495
6556437129154237588,2026-07-31 11:33:33.384408,MNIST,GAUSSIAN,,,True,True,5,100,0.28,1,0.03,128,0.5,1,1e-05,10,74.23863304373495
5773908221458999861,2026-07-31 11:40:33.499561,MNIST,GAUSSIAN,,,True,True,5,100,0.28,1,0.03,128,0.5,1,1e-05,10,74.23863304373495
2799923621855645999,2026-07-31 11:44:23.887032,MNIST,GAUSSIAN,,,True,True,5,100,0.28,1,0.03,128,0.5,1,1e-05,10,74.23863304373495
17810606385853795057,2026-07-31 11:47:43.950532,MNIST,GAUSSIAN,,,True,True,5,100,0.28,1,0.03,128,0.5,1,1e-05,10,74.23863304373495
1508128145981778322,2026-07-31 11:59:39.477459,MNIST,GAUSSIAN,,,True,True,5,100,0.28,1,0.03,128,0.5,1,1e-05,2,74.23863304373495
7509652172275724747,2026-07-31 12:04:46.408264,MNIST,LABELFLIP,,,True,True,5,100,0.28,1,0.03,128,0.5,1,1e-05,2,74.23863304373495
