update-round,test-loss,test-accuracy
0,0.28947815803598753,0.9166
1,0.23060408165041782,0.9321
2,0.19428938819402003,0.943
3,0.17314073722809553,0.9502
4,0.1538135514629981,0.9548
5,0.1387200132366034,0.959
6,0.1292843931602149,0.9605
7,0.12378666442052662,0.9633
8,0.11367037444363666,0.9652
9,0.10787999403627613,0.9684
10,0.10178712601007163,0.9694
11,0.09947559957781547,0.971
12,0.09585207602439472,0.9713
13,0.09129706107645849,0.9722
14,0.08900671432684824,0.9732
15,0.08685812632600436,0.9739
16,0.085013272096344,0.9744
17,0.08331461312378981,0.9758
18,0.08160595207687325,0.9742
19,0.08108824162738092,0.9766
20,0.07819319220961225,0.977
21,0.07695719045424787,0.9775
22,0.07611269127471443,0.9767
23,0.07540166991412098,0.9775
24,0.07413507526139199,0.9782
25,0.07422608438631685,0.9779
26,0.07152057471655639,0.9782
27,0.07059321986788389,0.978
28,0.07060308066414835,0.9788
29,0.06976312779102332,0.978
30,0.06791129423735687,0.9787
31,0.06895608513371405,0.9782
32,0.06915722422071886,0.9793
33,0.06787493540846472,0.9784
34,0.06825505692181708,0.9795
35,0.06751044454344819,0.9788
36,0.06868655606662218,0.9779
37,0.06910496343979376,0.9796
38,0.0665619135130627,0.9793
39,0.06550120293970302,0.9795
40,0.06543580245792488,0.9795
41,0.06606131671048124,0.9798
42,0.06533795031696805,0.9798
43,0.06508530717552345,0.9799
44,0.06649915165860276,0.9798
45,0.0658484324661844,0.9801
46,0.06531806679183169,0.9797
47,0.0656657934784182,0.9794
48,0.06630321224942166,0.9792
49,0.0658529000946238,0.9791
50,0.06554827045706761,0.9801
51,0.06670152806143477,0.9797
52,0.06478912278249435,0.9793
53,0.06636989968360986,0.9796
54,0.06461001433287689,0.9797
55,0.06527555295519673,0.9792
56,0.06536737530450985,0.9797
57,0.06492781918624835,0.9793
58,0.0651007728666639,0.9795
59,0.0644349456069213,0.9797
60,0.06578908548517229,0.9793
61,0.0652083140176049,0.9799
62,0.06520015098297485,0.979
63,0.06519236808747371,0.9793
64,0.06586167785575572,0.9794
65,0.06650089983322917,0.9792
66,0.06578978051393163,0.9788
67,0.06675572040464281,0.9792
68,0.06650187914746761,0.9797
69,0.06563941811548864,0.9798
70,0.06597401268590136,0.9793
71,0.06595564568326867,0.9796
72,0.06643488181661372,0.9794
73,0.06641722740321804,0.9796
74,0.06701661267629501,0.9793
75,0.06683522755900159,0.9792
76,0.06678229306796507,0.9798
77,0.0672978190690444,0.9794
78,0.067236448138771,0.9797
79,0.06816277872243104,0.9801
80,0.06681011929460418,0.9797
81,0.0674915806109622,0.9794
82,0.0673309736450415,0.9795
83,0.06775165584636116,0.9795
84,0.0673201179507268,0.9794
85,0.06743328549359082,0.9795
86,0.06811568616361496,0.9796
87,0.06776251858711844,0.9794
88,0.06764566502561484,0.9798
89,0.06847139399077248,0.9794
90,0.067809535208699,0.9788
91,0.06792200578325443,0.9797
92,0.06833943951448729,0.9795
93,0.06861766130850235,0.9788
94,0.06873759550152603,0.9795
95,0.06876025185993978,0.9793
96,0.06886049451032371,0.9793
97,0.06879709679123142,0.98
98,0.06874177926649189,0.9799
99,0.06963520871150776,0.9789
