global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall
0,2.3353640476226807,0.0704,,,
1,2.3353640476226807,0.0704,0.05,0.05,1.0
2,2.3353640476226807,0.0704,0.05,0.05,1.0
3,2.3353640476226807,0.0704,0.05,0.05,1.0
4,2.176693977737427,0.3324,0.6,0.05128205128205128,0.4
5,2.0219467678070067,0.544,0.61,0.05263157894736842,0.4
6,2.0219467678070067,0.544,0.66,0.08571428571428572,0.6
7,1.8632196403503418,0.6343,0.7,0.06896551724137931,0.4
8,1.8632196403503418,0.6343,0.69,0.06666666666666667,0.4
9,1.694586943244934,0.6733,0.79,0.05555555555555555,0.2
10,1.5369677640914916,0.6929,0.77,0.0,0.0
11,1.3952211254119873,0.7212,0.8,0.0,0.0
12,1.2744699514389037,0.7367,0.81,0.0,0.0
13,1.1661408702850342,0.7552,0.81,0.0,0.0
14,1.0788088130950928,0.7667,0.78,0.0,0.0
15,0.9988536529541016,0.7746,0.83,0.0,0.0
16,0.9342159045219421,0.7847,0.81,0.0,0.0
17,0.8738176100730896,0.7952,0.73,0.0,0.0
18,0.8275309833526612,0.8013,0.57,0.0,0.0
19,0.7835075052261352,0.8113,0.63,0.029411764705882353,0.2
20,0.7480145599365234,0.8189,0.65,0.058823529411764705,0.4
21,0.7154526031494141,0.8259,0.7,0.037037037037037035,0.2
22,0.7154526031494141,0.8259,0.71,0.038461538461538464,0.2
23,0.6855259206771851,0.8321,0.75,0.045454545454545456,0.2
24,0.658954820728302,0.8376,0.73,0.041666666666666664,0.2
25,0.6349586748123169,0.8401,0.74,0.043478260869565216,0.2
26,0.6151705208778382,0.8413,0.79,0.05555555555555555,0.2
27,0.5983232290267945,0.8448,0.8,0.058823529411764705,0.2
28,0.582388673734665,0.8474,0.87,0.0,0.0
29,0.5676656941413879,0.8492,0.91,0.16666666666666666,0.2
30,0.5545741775989532,0.852,0.91,0.16666666666666666,0.2
31,0.5418992576599121,0.8559,0.89,0.0,0.0
32,0.5305659454345704,0.8587,0.92,0.2,0.2
33,0.5211171818256378,0.8601,0.91,0.0,0.0
34,0.5121044201374054,0.8609,0.92,0.0,0.0
35,0.5034856444358826,0.8618,0.88,0.0,0.0
36,0.49622790331840516,0.8649,0.83,0.0,0.0
37,0.48753432350158693,0.8678,0.82,0.0,0.0
38,0.48108905878067015,0.8686,0.82,0.0,0.0
39,0.4745798934936523,0.8704,0.84,0.0,0.0
40,0.4689874283790588,0.87,0.84,0.0,0.0
41,0.46326088342666627,0.871,0.82,0.0,0.0
42,0.4580893783092499,0.8724,0.84,0.0,0.0
43,0.45373154468536375,0.8745,0.84,0.0,0.0
44,0.4497255300521851,0.8739,0.79,0.0,0.0
45,0.44515592274665833,0.8756,0.77,0.0,0.0
46,0.4406270638465881,0.8764,0.82,0.0,0.0
47,0.43711122150421144,0.8772,0.84,0.0,0.0
48,0.43336513471603394,0.8786,0.86,0.0,0.0
49,0.42971085596084596,0.8785,0.88,0.0,0.0
50,0.4274546272277832,0.8784,0.81,0.0,0.0
51,0.4240647364139557,0.8794,0.83,0.0,0.0
52,0.4209411549568176,0.8799,0.87,0.0,0.0
53,0.41817787017822267,0.8796,0.83,0.0,0.0
54,0.41415670804977417,0.881,0.88,0.0,0.0
55,0.4106046954154968,0.882,0.9,0.0,0.0
56,0.40865101940631865,0.8823,0.9,0.0,0.0
57,0.4057002516269684,0.8834,0.87,0.1,0.2
58,0.4033880612850189,0.8825,0.83,0.07142857142857142,0.2
59,0.4033880612850189,0.8825,0.75,0.0,0.0
60,0.40126311967372896,0.8847,0.81,0.0,0.0
61,0.39841402215957644,0.8863,0.87,0.0,0.0
62,0.3962215679645538,0.886,0.89,0.0,0.0
63,0.39316477694511415,0.887,0.85,0.08333333333333333,0.2
64,0.39126692905426025,0.8875,0.85,0.14285714285714285,0.4
65,0.3895818866252899,0.8878,0.84,0.07692307692307693,0.2
