global-update-round,test-loss,test-accuracy,detection-accuracy,detection-precision,detection-recall,attack-success-rate
0,4.137472664542424,0.0031550080379632575,,,,0.0
1,4.137472664542424,0.0031550080379632575,0.28,0.28,1.0,0.0
2,4.137472664542424,0.0031550080379632575,0.28,0.28,1.0,0.0
3,4.137472664542424,0.0031550080379632575,0.28,0.28,1.0,0.0
4,3.622930392786277,0.13919861076485304,0.6,0.38461538461538464,0.7142857142857143,0.4397238723210371
5,2.9796756054300477,0.33402680467319446,0.57,0.35294117647058826,0.6428571428571429,0.1683759875519029
6,2.354409691552101,0.4466012740386682,0.61,0.358974358974359,0.5,0.12827213878596666
7,2.0609826211691646,0.5105353197561961,0.7,0.4722222222222222,0.6071428571428571,0.10327278354237769
8,1.9076026669958561,0.5420596098793876,0.78,0.6071428571428571,0.6071428571428571,0.09629222079898214
9,1.7968110531294645,0.5669214170886239,0.76,0.5769230769230769,0.5357142857142857,0.08725703429244432
10,1.719424021389265,0.583547535740997,0.71,0.48148148148148145,0.4642857142857143,0.08127369479810527
11,1.6716029619068509,0.5951015706266173,0.74,0.5384615384615384,0.5,0.07704409274176216
12,1.6284746329898332,0.6055982049981516,0.77,0.6,0.5357142857142857,0.07531614556020735
13,1.5924006694664066,0.6137221357771034,0.71,0.4857142857142857,0.6071428571428571,0.0740438262424456
14,1.5645689142763568,0.6211927133928802,0.67,0.42857142857142855,0.5357142857142857,0.0686880496548404
15,1.53524348789571,0.627133069126484,0.73,0.5142857142857142,0.6428571428571429,0.0682238250389003
16,1.51650859063777,0.6322567334061192,0.77,0.5757575757575758,0.6785714285714286,0.06732976281560826
17,1.498093617937747,0.6373718009336072,0.72,0.5,0.6071428571428571,0.06953912811739725
18,1.476053480147971,0.6420484341015964,0.75,0.56,0.5,0.06994317546830807
19,1.4682123681639996,0.6458567953027347,0.69,0.4634146341463415,0.6785714285714286,0.06728677905487307
20,1.4411566353993668,0.6504990414621356,0.79,0.6296296296296297,0.6071428571428571,0.06360736913594044
21,1.4313372324912577,0.6535079047135992,0.79,0.7692307692307693,0.35714285714285715,0.06941877358733871
22,1.417690208199401,0.6571529276239437,0.76,0.625,0.35714285714285715,0.06699448948187375
23,1.402473154954497,0.6608409342950233,0.74,0.5625,0.32142857142857145,0.06616060452361099
24,1.3954822901705952,0.663858394298634,0.79,0.7692307692307693,0.35714285714285715,0.06860208213337002
25,1.3869914835228596,0.6661623238740404,0.77,0.7777777777777778,0.25,0.0673383595677553
26,1.377670138479678,0.6690938163561806,0.76,0.6111111111111112,0.39285714285714285,0.06705466674690302
27,1.377670138479678,0.6690938163561806,0.8,0.8333333333333334,0.35714285714285715,0.06705466674690302
28,1.368336444590843,0.67138914917944,0.78,0.6875,0.39285714285714285,0.06592849221564093
29,1.368336444590843,0.67138914917944,0.79,0.7333333333333333,0.39285714285714285,0.06592849221564093
30,1.3588349971573,0.6741916903793747,0.81,0.9090909090909091,0.35714285714285715,0.06679676418249185
31,1.3476340691175472,0.6762549108946639,0.8,0.7222222222222222,0.4642857142857143,0.0641059807604687
32,1.3396691562157432,0.6782063736320418,0.83,0.7894736842105263,0.5357142857142857,0.06423493204267428
33,1.33819929419563,0.6801148526086844,0.8,0.75,0.42857142857142855,0.06685694144752112
34,1.3281603583014847,0.6822124601325619,0.84,0.8333333333333334,0.5357142857142857,0.06591129871134685
35,1.3201010480475583,0.6839060203055286,0.8,0.7222222222222222,0.4642857142857143,0.06694290896899152
36,1.3147138786753718,0.6856597577435245,0.8,0.6818181818181818,0.5357142857142857,0.06425212554696835
37,1.3149710965665067,0.6868117225312277,0.69,0.4482758620689655,0.4642857142857143,0.06600586298496428
38,1.3003058070134126,0.6896400539876035,0.71,0.4838709677419355,0.5357142857142857,0.06489688195799627
39,1.2984391076015716,0.6910155343311297,0.74,0.5357142857142857,0.5357142857142857,0.06461318913714399
40,1.2858707894342087,0.6931217386071542,0.81,0.6666666666666666,0.6428571428571429,0.06298840298135365
41,1.2825511161287562,0.6944284449335041,0.85,0.8095238095238095,0.6071428571428571,0.06374491717029307
42,1.2859084892933748,0.6955288292083252,0.82,0.7777777777777778,0.5,0.06540409033467157
43,1.2779746960676626,0.697265373142027,0.79,0.6842105263157895,0.4642857142857143,0.06365035289667563
44,1.2773317968468338,0.6982711931432305,0.78,0.6071428571428571,0.6071428571428571,0.06647868435305142
45,1.2697898284488935,0.69972404425608,0.8,0.7,0.5,0.06488828520584923
46,1.2618666550376145,0.7015379589591052,0.81,0.7142857142857143,0.5357142857142857,0.06376211067458715
47,1.2640894822792395,0.7018904257971338,0.79,0.6842105263157895,0.4642857142857143,0.06677957067819777
48,1.2565826533155817,0.7035925827222476,0.81,0.7647058823529411,0.4642857142857143,0.06502583324020185
49,1.2511191289356418,0.7049422728093326,0.85,0.9333333333333333,0.5,0.0656104123862005
50,1.2543697534101401,0.7051829818694497,0.77,0.6470588235294118,0.39285714285714285,0.06806048674810657
51,1.2503762914872836,0.706790574520946,0.77,0.6470588235294118,0.39285714285714285,0.06777679392725429
52,1.2384509757762834,0.7083981671724423,0.75,0.6153846153846154,0.2857142857142857,0.06695150572113856
53,1.2367135305976837,0.7091374878570876,0.76,0.625,0.35714285714285715,0.06805188999595953
54,1.2326896643016139,0.7100917273454089,0.73,0.5333333333333333,0.2857142857142857,0.06856769512478186
55,1.2303685759179728,0.7115015946975233,0.78,0.7142857142857143,0.35714285714285715,0.06657324862666884
56,1.2311737202741688,0.7119658193134634,0.79,0.6842105263157895,0.4642857142857143,0.06783697119228356
57,1.2209761425845473,0.7135648152128126,0.79,0.7692307692307693,0.35714285714285715,0.06646149084875734
58,1.2163352424879539,0.7145706352140161,0.76,0.7,0.25,0.06794013221804802
59,1.2101633659190887,0.7159117285489542,0.77,0.7272727272727273,0.2857142857142857,0.06486249494940811
60,1.2069724334239054,0.7170035160716282,0.71,0.4827586206896552,0.5,0.06599726623281724
61,1.2114130797375962,0.7166768394900407,0.76,0.5833333333333334,0.5,0.06785416469657764
62,1.2057440111143831,0.7188174307746533,0.75,0.5555555555555556,0.5357142857142857,0.0654126870868186
63,1.1967423417226062,0.7197458800065335,0.73,0.52,0.4642857142857143,0.06714063426837341
64,1.198963961620073,0.7205711682126492,0.78,0.6363636363636364,0.5,0.06658184537881588
65,1.1936958075362907,0.7214480369316473,0.82,0.7777777777777778,0.5,0.06601445973711131
66,1.1890167245903975,0.7225484212064682,0.8,0.6818181818181818,0.5357142857142857,0.06631534606225768
67,1.190108813949111,0.7232533548825254,0.79,0.6296296296296297,0.6071428571428571,0.06599726623281724
68,1.1881877897563016,0.7237519665070536,0.7,0.46153846153846156,0.42857142857142855,0.06762205238860758
69,1.1820645465685056,0.7256604454836962,0.71,0.48,0.42857142857142855,0.06829259905607661
70,1.1759785928556734,0.7263052018947241,0.77,0.6470588235294118,0.39285714285714285,0.06708905375549118
71,1.1750386897921763,0.7266146849720175,0.7,0.46875,0.5357142857142857,0.06653886161808069
72,1.1726239469718454,0.7277236659989856,0.76,0.5769230769230769,0.5357142857142857,0.06651307136163957
73,1.1721542607764066,0.7286693087351599,0.82,0.75,0.5357142857142857,0.06781977768798948
74,1.1692925383966084,0.7297095157449516,0.77,0.631578947368421,0.42857142857142855,0.06668500640458035
75,1.1671935909751967,0.7301479501044505,0.78,0.7142857142857143,0.35714285714285715,0.0677338101665191
76,1.161905568511153,0.7311107863449189,0.83,0.8666666666666667,0.4642857142857143,0.06621218503649322
77,1.1638081624064918,0.731360092157183,0.75,0.6666666666666666,0.21428571428571427,0.06818943803031215
78,1.1634073514961227,0.7316953654909175,0.74,0.6,0.21428571428571427,0.06873963016772264
79,1.1515058841772385,0.7332169906209434,0.76,0.625,0.35714285714285715,0.06586831495061166
80,1.1498289042606369,0.7339305210491476,0.82,0.9166666666666666,0.39285714285714285,0.06542988059111268
81,1.1475154200201416,0.7349449378024983,0.83,0.9230769230769231,0.42857142857142855,0.06549005785614195
82,1.1506679483064783,0.7349105507939101,0.77,0.7272727272727273,0.2857142857142857,0.0671836180291086
83,1.1518617312903232,0.7352888078883798,0.76,0.6666666666666666,0.2857142857142857,0.06829259905607661
84,1.1435613122829236,0.7366986752404941,0.85,0.9333333333333333,0.5,0.06616920127575802
85,1.142478009028953,0.7369479810527583,0.79,0.8181818181818182,0.32142857142857145,0.06678816743034481
86,1.135368728168741,0.7375067699423158,0.78,0.8,0.2857142857142857,0.06655605512237477
87,1.141945434815874,0.7377130919938447,0.81,0.7647058823529411,0.4642857142857143,0.06766503614934277
88,1.1337672328413613,0.7389510243030183,0.8,0.75,0.42857142857142855,0.06530092930890709
89,1.1389138591566936,0.7387189119950482,0.78,0.6875,0.39285714285714285,0.06990878845971991
90,1.1284606208977372,0.7403265046465445,0.8,0.7222222222222222,0.4642857142857143,0.0654126870868186
91,1.1297238857901917,0.7402061501164859,0.75,0.5882352941176471,0.35714285714285715,0.06622078178864026
92,1.1273813266455233,0.7409798578097195,0.76,0.7,0.25,0.06752748811499015
93,1.1265086061716352,0.7412291636219837,0.73,0.5333333333333333,0.2857142857142857,0.06883419444134006
94,1.1235187155649284,0.7413925019127774,0.72,0.5,0.21428571428571427,0.06766503614934277
95,1.122775021733874,0.7421318225974227,0.77,0.631578947368421,0.42857142857142855,0.06885998469778118
96,1.1170056205679924,0.7431376425986262,0.76,0.625,0.35714285714285715,0.06697729597757968
97,1.1170056205679924,0.7431376425986262,0.77,0.6666666666666666,0.35714285714285715,0.06697729597757968
98,1.1207475310761676,0.7437738022575071,0.78,0.6875,0.39285714285714285,0.06824101854319438
99,1.1130281023042385,0.7441778496084179,0.79,0.7058823529411765,0.42857142857142855,0.06584252469417054
100,1.113322618918247,0.7451148955924451,0.81,0.7647058823529411,0.4642857142857143,0.0662981525579636
